Time,27Al,45Sc,55Mn,56Fe,65Cu,115In,159Tb,220Bkg,238U
,blank    3/16/2021 2:44:24 PM    (Run: 1),,,,,,,,
974917,24020.000,45370.000,700.000,5137.000,236.000,349000.000,501300.000,0.000,14.000
978962,23250.000,44870.000,652.000,5179.000,216.000,356100.000,506000.000,0.000,8.000
983007,22820.000,44820.000,608.000,5073.000,238.000,355400.000,495700.000,0.000,20.000
987053,23190.000,43770.000,670.000,5203.000,182.000,356600.000,510700.000,0.000,8.000
991098,23400.000,44760.000,712.000,5203.000,216.000,355600.000,505500.000,0.000,10.000
995143,23740.000,45370.000,716.000,5306.000,192.000,351900.000,511500.000,0.000,12.000
999189,23590.000,45450.000,660.000,5358.000,216.000,353200.000,515600.000,0.000,14.000
1003234,23580.000,44670.000,720.000,5053.000,240.000,349700.000,502800.000,0.000,12.000
1007279,23200.000,44850.000,588.000,5139.000,208.000,356600.000,509200.000,0.000,12.000
1011325,23960.000,44310.000,648.000,5027.000,164.000,354100.000,514400.000,0.000,18.000
1015370,23380.000,45130.000,668.000,5264.000,186.000,349200.000,515800.000,0.000,6.000
1019415,23740.000,45100.000,590.000,5262.000,222.000,354000.000,509300.000,0.000,4.000
1023460,23910.000,44780.000,582.000,5081.000,188.000,351400.000,504600.000,0.000,14.000
1027506,23930.000,45240.000,610.000,5286.000,186.000,357100.000,514500.000,0.000,10.000
1031551,24070.000,44390.000,728.000,5378.000,216.000,357200.000,509900.000,0.000,14.000
1035596,23760.000,44680.000,590.000,5203.000,206.000,352800.000,516400.000,0.000,10.000
1039642,23780.000,45340.000,706.000,5127.000,204.000,356600.000,512100.000,0.000,10.000
1043687,23740.000,46520.000,678.000,5187.000,220.000,354000.000,511800.000,0.000,10.000
1047732,24130.000,45210.000,660.000,5346.000,234.000,356100.000,509600.000,0.000,16.000
1051778,23890.000,44880.000,638.000,5280.000,220.000,352600.000,501400.000,0.000,4.000
1055823,23570.000,44990.000,706.000,5252.000,210.000,353900.000,518600.000,0.000,6.000
1059868,23940.000,45150.000,592.000,5221.000,218.000,356600.000,507200.000,0.000,8.000
1063913,23680.000,44500.000,614.000,5376.000,242.000,353100.000,504800.000,0.000,10.000
1067959,23750.000,46000.000,644.000,5280.000,172.000,359400.000,509800.000,0.000,10.000
1072004,24250.000,44370.000,700.000,5346.000,226.000,363200.000,512100.000,0.000,8.000
1076049,24150.000,44830.000,614.000,5213.000,224.000,352400.000,512600.000,0.000,10.000
1080095,23920.000,45530.000,614.000,5418.000,202.000,353700.000,508000.000,0.000,8.000
1084140,23960.000,46200.000,648.000,5430.000,228.000,352600.000,507600.000,0.000,12.000
1088185,23830.000,46250.000,648.000,5462.000,220.000,358900.000,513600.000,0.000,8.000
1092231,23390.000,45100.000,622.000,5284.000,200.000,356100.000,508600.000,0.000,8.000
1096276,23120.000,45290.000,656.000,5474.000,212.000,353000.000,503800.000,0.000,8.000
1100321,23640.000,45300.000,690.000,5352.000,216.000,355700.000,512800.000,0.000,12.000
1104366,23320.000,45270.000,660.000,5554.000,286.000,353300.000,511500.000,0.000,20.000
1108412,23460.000,44900.000,678.000,5740.000,204.000,356000.000,502200.000,0.000,8.000
1112457,22890.000,45020.000,604.000,5376.000,206.000,352800.000,509900.000,0.000,10.000
