Time,27Al,45Sc,55Mn,56Fe,65Cu,115In,159Tb,220Bkg,238U
,Bennery raw    3/16/2021 1:11:26 PM    (Run: 1),,,,,,,,
1144819,29290.000,47770.000,2120.000,107700.000,704.000,392900.000,530600.000,0.000,18.000
1148865,29420.000,46760.000,2168.000,112200.000,690.000,390000.000,530200.000,0.000,16.000
1152910,29130.000,45840.000,2272.000,115700.000,708.000,384300.000,527600.000,0.000,24.000
1156955,29560.000,47050.000,2406.000,115900.000,696.000,395500.000,526400.000,0.000,20.000
1161001,28520.000,47070.000,2708.000,120400.000,722.000,395400.000,522200.000,0.000,22.000
1165046,28800.000,46330.000,2838.000,120800.000,694.000,396900.000,527500.000,0.000,18.000
1169091,29110.000,47440.000,2870.000,124200.000,774.000,389200.000,531200.000,0.000,22.000
1173137,29220.000,46660.000,2898.000,124800.000,738.000,395700.000,530700.000,0.000,12.000
1177182,28880.000,47440.000,2990.000,122900.000,646.000,389700.000,524700.000,0.000,20.000
1181227,28490.000,48290.000,3008.000,126400.000,748.000,386900.000,520600.000,0.000,28.000
1185272,28330.000,47460.000,3137.000,123500.000,720.000,392900.000,535500.000,0.000,32.000
1189318,28900.000,48100.000,3175.000,123900.000,758.000,387600.000,538800.000,0.000,32.000
1193363,28380.000,45860.000,3201.000,122000.000,838.000,393600.000,529900.000,0.000,10.000
1197408,28700.000,46850.000,3227.000,122400.000,728.000,389800.000,518500.000,0.000,18.000
1201454,28730.000,47260.000,3461.000,121700.000,734.000,392500.000,531900.000,0.000,16.000
1205499,28010.000,47930.000,3463.000,120800.000,606.000,397700.000,535300.000,0.000,26.000
1209544,28000.000,47680.000,3545.000,118300.000,770.000,391400.000,532500.000,0.000,8.000
1213590,28060.000,47070.000,3537.000,117300.000,766.000,393000.000,529100.000,0.000,24.000
1217635,27070.000,45500.000,3369.000,116000.000,752.000,393800.000,522300.000,0.000,32.000
1221680,28100.000,47600.000,3405.000,115200.000,772.000,398100.000,525600.000,0.000,16.000
1225725,28140.000,47520.000,3553.000,110800.000,704.000,392700.000,522900.000,0.000,14.000
1229771,27710.000,47690.000,3441.000,110800.000,706.000,389400.000,525700.000,0.000,24.000
1233816,28060.000,46430.000,3461.000,109200.000,744.000,399200.000,532800.000,0.000,8.000
1237861,27720.000,46230.000,3381.000,106700.000,780.000,390800.000,526500.000,0.000,24.000
1241907,27710.000,46690.000,3431.000,105500.000,672.000,395700.000,525100.000,0.000,14.000
