Time,27Al,45Sc,55Mn,56Fe,65Cu,115In,159Tb,220Bkg,238U
,jdk raw    3/16/2021 2:00:22 PM    (Run: 1),,,,,,,,
469254,23260.000,44330.000,798.000,5139.000,270.000,365200.000,507700.000,0.000,10.000
473300,24320.000,45050.000,792.000,5065.000,228.000,359100.000,495400.000,0.000,10.000
477345,24280.000,44620.000,792.000,5348.000,202.000,372000.000,504100.000,0.000,10.000
481390,24330.000,44670.000,746.000,5123.000,214.000,365400.000,503400.000,0.000,14.000
485436,23650.000,44060.000,824.000,5139.000,236.000,359900.000,506000.000,0.000,12.000
489481,23920.000,44860.000,660.000,5346.000,220.000,362900.000,519100.000,0.000,12.000
493526,23840.000,43990.000,774.000,5246.000,242.000,363200.000,507300.000,0.000,8.000
497571,23580.000,45390.000,690.000,5173.000,184.000,368400.000,515400.000,0.000,14.000
501617,23620.000,44620.000,680.000,5139.000,198.000,370600.000,508400.000,0.000,14.000
505662,23620.000,44220.000,752.000,5272.000,228.000,361800.000,513000.000,0.000,6.000
509707,24340.000,44510.000,746.000,5322.000,210.000,369700.000,511700.000,0.000,16.000
513753,23630.000,43980.000,780.000,5167.000,214.000,362400.000,499000.000,0.000,8.000
517798,23650.000,44670.000,714.000,5246.000,158.000,367900.000,517100.000,0.000,10.000
521843,23520.000,43710.000,702.000,5246.000,162.000,364200.000,501600.000,0.000,10.000
525889,24270.000,44370.000,736.000,5254.000,252.000,366000.000,518800.000,0.000,10.000
529934,23570.000,44800.000,774.000,5217.000,194.000,367800.000,509900.000,0.000,6.000
533979,23760.000,45480.000,712.000,5236.000,230.000,362100.000,508300.000,0.000,2.000
538024,23690.000,44390.000,684.000,5232.000,230.000,368000.000,512500.000,0.000,8.000
542070,23740.000,44110.000,680.000,5366.000,246.000,365000.000,510700.000,0.000,4.000
546115,23400.000,45570.000,744.000,5005.000,224.000,361300.000,508700.000,0.000,16.000
550160,23470.000,44350.000,826.000,5195.000,212.000,365500.000,510100.000,0.000,8.000
554206,23510.000,44310.000,696.000,5135.000,176.000,362100.000,505200.000,0.000,18.000
558251,23710.000,44500.000,790.000,5109.000,222.000,368100.000,514500.000,0.000,22.000
562296,23360.000,45120.000,740.000,5442.000,196.000,367300.000,511600.000,0.000,12.000
566342,24230.000,44900.000,740.000,5213.000,230.000,365700.000,508000.000,0.000,16.000
570387,23400.000,43960.000,764.000,5095.000,248.000,365100.000,507200.000,0.000,14.000
574432,23580.000,45030.000,740.000,5286.000,224.000,363500.000,508100.000,0.000,12.000
578477,24070.000,43520.000,738.000,5193.000,212.000,365500.000,508800.000,0.000,18.000
582523,23440.000,43910.000,738.000,5129.000,238.000,367100.000,505300.000,0.000,10.000
586568,23870.000,45180.000,802.000,5097.000,224.000,362400.000,519900.000,0.000,12.000
590613,23890.000,45200.000,754.000,5081.000,210.000,366700.000,511600.000,0.000,6.000
594659,23740.000,45280.000,700.000,5304.000,220.000,364200.000,504500.000,0.000,10.000
598704,24020.000,44910.000,700.000,5047.000,204.000,363000.000,508600.000,0.000,16.000
602749,23430.000,44710.000,720.000,5300.000,268.000,362600.000,509600.000,0.000,8.000
606795,24050.000,45660.000,718.000,5346.000,194.000,363700.000,509800.000,0.000,4.000
610840,23900.000,44400.000,770.000,5161.000,244.000,366000.000,513100.000,0.000,8.000
614885,23530.000,44350.000,778.000,5402.000,206.000,362000.000,506400.000,0.000,16.000
618930,23620.000,44970.000,736.000,5083.000,210.000,367000.000,518200.000,0.000,12.000
622976,23700.000,44400.000,704.000,5049.000,198.000,359700.000,497500.000,0.000,14.000
627021,24020.000,43980.000,720.000,5129.000,268.000,359900.000,511100.000,0.000,2.000
631066,23710.000,44910.000,704.000,5179.000,240.000,360900.000,502500.000,0.000,20.000
635112,23600.000,44690.000,700.000,5232.000,186.000,365800.000,497200.000,0.000,6.000
639157,23080.000,44030.000,738.000,5077.000,186.000,369800.000,513400.000,0.000,6.000
643202,23270.000,44250.000,788.000,5310.000,224.000,367200.000,511300.000,0.000,4.000
647248,23370.000,44690.000,716.000,5258.000,232.000,361200.000,504600.000,0.000,8.000
651293,23960.000,43780.000,804.000,5434.000,200.000,366500.000,514500.000,0.000,8.000
655338,23490.000,44630.000,790.000,5232.000,250.000,364500.000,514900.000,0.000,10.000
659383,23850.000,45310.000,704.000,5177.000,238.000,369200.000,524000.000,0.000,2.000
663429,23730.000,45300.000,644.000,5238.000,246.000,370700.000,522800.000,0.000,8.000
667474,23940.000,45680.000,840.000,5113.000,230.000,366700.000,511400.000,0.000,24.000
671519,23460.000,44910.000,794.000,5197.000,214.000,375900.000,523200.000,0.000,10.000
675565,23460.000,45250.000,760.000,5376.000,226.000,367700.000,521400.000,0.000,10.000
679610,24390.000,45330.000,746.000,5370.000,310.000,368600.000,527300.000,0.000,16.000
683655,24520.000,44870.000,792.000,5636.000,514.000,373100.000,517500.000,0.000,6.000
687701,24380.000,45360.000,734.000,5918.000,688.000,367000.000,524800.000,0.000,6.000
691746,25030.000,45640.000,754.000,6218.000,836.000,371000.000,524300.000,0.000,20.000
695791,25020.000,44820.000,796.000,6276.000,910.000,370700.000,521700.000,0.000,12.000
699836,24460.000,45430.000,808.000,6606.000,854.000,370200.000,515400.000,0.000,14.000
703882,25260.000,45050.000,902.000,6366.000,776.000,370100.000,514100.000,0.000,4.000
707927,24370.000,45000.000,784.000,6292.000,754.000,363600.000,525900.000,0.000,8.000
711972,24440.000,44730.000,834.000,6060.000,736.000,367800.000,511700.000,0.000,8.000
716018,24320.000,45160.000,778.000,6336.000,640.000,366300.000,507300.000,0.000,18.000
720063,24530.000,45470.000,860.000,6382.000,622.000,369700.000,522400.000,0.000,14.000
724108,24800.000,45560.000,856.000,6740.000,560.000,370100.000,519800.000,0.000,28.000
728154,24330.000,45310.000,796.000,6692.000,576.000,371000.000,515800.000,0.000,12.000
732199,24640.000,44140.000,814.000,7171.000,638.000,371600.000,521100.000,0.000,24.000
736244,24100.000,45080.000,762.000,7727.000,654.000,371800.000,518700.000,0.000,32.000
740289,24620.000,45840.000,816.000,7855.000,504.000,369900.000,525900.000,0.000,12.000
744335,24470.000,45460.000,768.000,7967.000,534.000,367600.000,515600.000,0.000,30.000
748380,24750.000,45540.000,850.000,8900.000,504.000,361500.000,522100.000,0.000,30.000
752425,25100.000,45770.000,790.000,9351.000,554.000,373100.000,517000.000,0.000,40.000
756471,25030.000,44830.000,794.000,10310.000,540.000,364100.000,512700.000,0.000,40.000
760516,25440.000,44560.000,764.000,11410.000,594.000,372200.000,522800.000,0.000,44.000
764561,25230.000,44180.000,762.000,12450.000,636.000,363600.000,514400.000,0.000,36.000
768607,25470.000,45610.000,848.000,13540.000,628.000,363900.000,523600.000,0.000,56.000
772652,25500.000,45250.000,854.000,14880.000,672.000,369500.000,524200.000,0.000,74.000
776697,26290.000,45660.000,744.000,15960.000,750.000,374500.000,517000.000,0.000,78.000
780742,25770.000,45400.000,740.000,17800.000,700.000,372400.000,521100.000,0.000,78.000
784788,26440.000,45340.000,806.000,19500.000,732.000,371500.000,512900.000,0.000,88.000
788833,26240.000,44750.000,690.000,21040.000,776.000,364500.000,523400.000,0.000,110.000
792878,26630.000,45110.000,758.000,22530.000,824.000,367300.000,517500.000,0.000,114.000
796924,27040.000,45210.000,732.000,23970.000,846.000,371400.000,516700.000,0.000,98.000
800969,26630.000,44990.000,792.000,25970.000,916.000,369000.000,514200.000,0.000,132.000
805014,28030.000,46150.000,850.000,27130.000,982.100,371800.000,517000.000,0.000,142.000
809060,28000.000,44530.000,798.000,28520.000,1058.000,360600.000,508400.000,0.000,102.000
813105,28010.000,45050.000,830.000,30550.000,974.100,365800.000,509500.000,0.000,148.000
817150,27770.000,43760.000,748.000,30910.000,1082.000,366600.000,508800.000,0.000,104.000
821195,28720.000,45890.000,756.000,31570.000,1052.000,368200.000,516600.000,0.000,142.000
825241,28190.000,44380.000,774.000,31970.000,954.100,369400.000,518500.000,0.000,128.000
829286,28210.000,45250.000,764.000,32810.000,1074.000,362100.000,515700.000,0.000,148.000
833331,27670.000,45070.000,782.000,32870.000,1070.000,368100.000,522600.000,0.000,152.000
837377,28130.000,45030.000,766.000,32580.000,1000.000,369800.000,517600.000,0.000,112.000
841422,28470.000,46170.000,776.000,32000.000,986.100,371500.000,513500.000,0.000,150.000
845467,28980.000,45500.000,726.000,31400.000,1056.000,372400.000,524900.000,0.000,134.000
849513,28510.000,45110.000,744.000,30160.000,976.100,364400.000,515500.000,0.000,136.000
853558,27800.000,44150.000,766.000,29820.000,1024.000,366800.000,518200.000,0.000,106.000
857603,28090.000,44790.000,768.000,28830.000,962.100,368800.000,516800.000,0.000,74.000
861648,28130.000,45280.000,808.000,27030.000,902.000,361900.000,522700.000,0.000,114.000
865694,27490.000,45140.000,816.000,26210.000,842.000,371000.000,522600.000,0.000,106.000
869739,27680.000,45550.000,730.000,24930.000,884.000,368200.000,514900.000,0.000,74.000
873784,27750.000,45330.000,746.000,23260.000,800.000,369200.000,522100.000,0.000,68.000
877830,27440.000,44710.000,722.000,22700.000,776.000,366400.000,511000.000,0.000,80.000
881875,27310.000,45490.000,748.000,21450.000,822.000,364600.000,514100.000,0.000,76.000
885920,27000.000,44980.000,814.000,19830.000,722.000,370800.000,513000.000,0.000,60.000
889966,26950.000,45090.000,802.000,19420.000,678.000,364600.000,511000.000,0.000,58.000
894011,26930.000,45150.000,730.000,18530.000,672.000,368200.000,515600.000,0.000,46.000
898056,26890.000,45610.000,804.000,17370.000,724.000,369600.000,521000.000,0.000,58.000
902101,26290.000,44540.000,816.000,16290.000,680.000,365600.000,517800.000,0.000,62.000
906147,25860.000,44690.000,768.000,15570.000,548.000,365600.000,513500.000,0.000,48.000
910192,26080.000,44490.000,754.000,14850.000,602.000,360200.000,511400.000,0.000,28.000
914237,26330.000,45420.000,808.000,14380.000,556.000,365400.000,523700.000,0.000,32.000
918283,26040.000,44190.000,676.000,13380.000,576.000,368600.000,512100.000,0.000,50.000
922328,25760.000,44830.000,768.000,12970.000,576.000,363800.000,516400.000,0.000,34.000
926373,25770.000,44490.000,734.000,12710.000,618.000,370400.000,518300.000,0.000,38.000
930419,25820.000,44740.000,700.000,11590.000,568.000,366300.000,510500.000,0.000,16.000
934464,25570.000,44930.000,748.000,11690.000,518.000,375500.000,519900.000,0.000,40.000
938509,25340.000,44810.000,664.000,11150.000,470.000,368300.000,520200.000,0.000,30.000
942554,25480.000,45110.000,676.000,11030.000,398.000,369100.000,512900.000,0.000,12.000
946600,25380.000,44740.000,724.000,10420.000,450.000,362100.000,515500.000,0.000,44.000
950645,25430.000,44970.000,746.000,10230.000,486.000,366000.000,519800.000,0.000,22.000
954690,24680.000,44220.000,738.000,9895.000,502.000,366200.000,518900.000,0.000,18.000
958736,24910.000,44910.000,768.000,9661.000,398.000,370000.000,512100.000,0.000,28.000
962781,25130.000,44750.000,788.000,9301.000,426.000,373600.000,523500.000,0.000,20.000
966826,24650.000,45120.000,792.000,9197.000,444.000,370900.000,524400.000,0.000,26.000
970872,24860.000,44780.000,792.000,8990.000,372.000,368200.000,517900.000,0.000,22.000
974917,25210.000,45470.000,748.000,8802.000,422.000,368300.000,520700.000,0.000,22.000
978962,24980.000,45340.000,728.000,8738.000,356.000,371300.000,522500.000,0.000,20.000
983007,24540.000,45110.000,812.000,8572.000,348.000,366900.000,533600.000,0.000,16.000
987053,25110.000,45720.000,774.000,8808.000,428.000,379300.000,523000.000,0.000,16.000
991098,25200.000,45290.000,722.000,8742.000,372.000,369000.000,521000.000,0.000,18.000
995143,25040.000,45620.000,764.000,8504.000,362.000,371200.000,525100.000,0.000,18.000
999189,24570.000,44370.000,784.000,8430.000,410.000,370300.000,516700.000,0.000,16.000
1003234,24880.000,44940.000,674.000,8100.000,332.000,370300.000,525200.000,0.000,20.000
1007279,24570.000,45180.000,748.000,8216.000,356.000,369700.000,516900.000,0.000,8.000
1011325,23910.000,45680.000,756.000,8106.000,394.000,371900.000,519400.000,0.000,12.000
1015370,25180.000,44770.000,710.000,8360.000,340.000,375900.000,522700.000,0.000,20.000
1019415,25270.000,44220.000,812.000,8704.000,348.000,373400.000,522300.000,0.000,20.000
1023460,24260.000,45340.000,760.000,8254.000,338.000,370300.000,530500.000,0.000,22.000
1027506,24780.000,45700.000,766.000,8678.000,384.000,372800.000,527900.000,0.000,6.000
1031551,24980.000,45690.000,746.000,8496.000,404.000,368600.000,517100.000,0.000,22.000
1035596,25190.000,44900.000,716.000,8460.000,350.000,372400.000,524100.000,0.000,24.000
1039642,25120.000,45620.000,710.000,8624.000,348.000,375500.000,525900.000,0.000,12.000
1043687,25030.000,44410.000,724.000,8626.000,432.000,369600.000,528500.000,0.000,16.000
1047732,25220.000,45240.000,758.000,8680.000,352.000,370500.000,521800.000,0.000,4.000
1051778,24790.000,45670.000,786.000,8974.000,370.000,366200.000,522000.000,0.000,12.000
1055823,24880.000,45940.000,732.000,8688.000,404.000,369700.000,525600.000,0.000,16.000
1059868,24920.000,45700.000,750.000,9429.000,414.000,371500.000,517200.000,0.000,20.000
1063913,24530.000,45650.000,690.000,9415.000,416.000,370200.000,524600.000,0.000,14.000
1067959,24710.000,44790.000,750.000,9321.000,370.000,372400.000,522600.000,0.000,14.000
1072004,25110.000,45330.000,796.000,9879.000,416.000,365500.000,519700.000,0.000,22.000
1076049,24820.000,45730.000,776.000,9967.000,400.000,372000.000,519100.000,0.000,6.000
1080095,24780.000,44690.000,712.000,10590.000,412.000,373800.000,523000.000,0.000,16.000
1084140,25390.000,45020.000,778.000,10580.000,450.000,370900.000,524500.000,0.000,8.000
1088185,24490.000,45240.000,722.000,11350.000,442.000,377400.000,522700.000,100.000,12.000
1092231,25350.000,46260.000,684.000,11780.000,352.000,367500.000,516700.000,0.000,10.000
1096276,24730.000,45010.000,842.000,12110.000,438.000,369800.000,520000.000,0.000,14.000
1100321,24900.000,44720.000,764.000,13040.000,412.000,371500.000,520800.000,0.000,16.000
1104366,24520.000,45140.000,792.000,13850.000,436.000,364500.000,524700.000,0.000,14.000
1108412,24930.000,45640.000,766.000,14880.000,368.000,367800.000,518800.000,0.000,10.000
1112457,24690.000,45450.000,790.000,15620.000,420.000,361900.000,510700.000,0.000,12.000
1116502,24410.000,44910.000,794.000,16860.000,448.000,367300.000,514800.000,0.000,10.000
1120548,24470.000,44960.000,806.000,18440.000,450.000,373200.000,520000.000,0.000,18.000
1124593,24370.000,44190.000,796.000,18940.000,378.000,369200.000,517600.000,0.000,16.000
1128638,23830.000,44660.000,810.000,20070.000,444.000,367000.000,514200.000,0.000,14.000
1132684,23910.000,45370.000,868.000,21020.000,378.000,368000.000,515000.000,0.000,10.000
1136729,24090.000,44910.000,838.000,21690.000,456.000,368600.000,520200.000,0.000,18.000
1140774,23590.000,44650.000,932.000,22800.000,472.000,370800.000,516600.000,0.000,20.000
1144819,23480.000,44890.000,842.000,23630.000,436.000,363800.000,509300.000,0.000,6.000
1148865,23430.000,45380.000,936.000,24290.000,526.000,372900.000,526200.000,0.000,20.000
1152910,23410.000,45910.000,906.000,24940.000,456.000,366300.000,517200.000,0.000,26.000
1156955,23220.000,45760.000,822.000,26110.000,466.000,367100.000,517500.000,0.000,20.000
1161001,23030.000,44210.000,934.000,25450.000,520.000,370200.000,519900.000,0.000,14.000
1165046,23880.000,45270.000,978.100,26190.000,458.000,361900.000,521500.000,0.000,24.000
1169091,23340.000,45570.000,854.000,25560.000,470.000,369200.000,516500.000,0.000,30.000
1173137,23010.000,46040.000,946.000,25780.000,514.000,365100.000,522000.000,0.000,18.000
1177182,23060.000,44670.000,988.100,26180.000,490.000,368700.000,515200.000,0.000,10.000
1181227,23300.000,44870.000,980.100,26280.000,496.000,365600.000,513400.000,0.000,20.000
1185272,22930.000,44790.000,962.100,25720.000,518.000,363800.000,514700.000,0.000,8.000
1189318,23700.000,45600.000,1052.000,26490.000,526.000,371300.000,514400.000,0.000,20.000
1193363,23110.000,46110.000,928.000,25380.000,480.000,367600.000,511500.000,0.000,18.000
1197408,22840.000,45000.000,948.000,25200.000,468.000,371200.000,519000.000,0.000,14.000
1201454,22850.000,44810.000,1012.000,25350.000,490.000,368700.000,509800.000,0.000,12.000
1205499,22980.000,44720.000,984.100,24780.000,504.000,366800.000,527000.000,0.000,22.000
1209544,23070.000,45140.000,934.000,24930.000,526.000,366600.000,518900.000,0.000,8.000
1213590,22470.000,46040.000,996.100,24190.000,548.000,366000.000,517800.000,0.000,16.000
1217635,22360.000,44050.000,878.000,23950.000,504.000,367800.000,518600.000,0.000,12.000
1221680,22560.000,44730.000,872.000,23280.000,538.000,368700.000,526200.000,0.000,12.000
1225725,22130.000,44470.000,926.000,23190.000,520.000,367200.000,514400.000,0.000,18.000
1229771,22680.000,45290.000,938.000,23080.000,550.000,371200.000,515700.000,0.000,24.000
1233816,22630.000,44960.000,1012.000,22860.000,508.000,367000.000,513000.000,0.000,14.000
1237861,22600.000,45120.000,898.000,22010.000,504.000,368900.000,524900.000,0.000,8.000
1241907,22570.000,44670.000,878.000,21630.000,552.000,367700.000,513500.000,0.000,16.000
1245952,22350.000,45840.000,946.000,21720.000,552.000,367300.000,516500.000,0.000,18.000
1249997,22520.000,45560.000,930.000,21890.000,586.000,371000.000,525700.000,0.000,22.000
